"sector","product","marketingYear","month","partner","Einheit","Wert"
"Milk And Milk Products","Fresh milk","2019",1,"Switzerland","tons",1.468
"Milk And Milk Products","Fresh milk","2019",2,"Switzerland","euroValue",4335
"Milk And Milk Products","Fresh milk","2019",2,"Switzerland","tons",2.134
"Milk And Milk Products","Fresh milk","2019",3,"Switzerland","euroValue",19724
"Milk And Milk Products","Fresh milk","2019",3,"Switzerland","tons",2.775
"Milk And Milk Products","Fresh milk","2019",4,"Switzerland","euroValue",2963
"Milk And Milk Products","Fresh milk","2019",4,"Switzerland","tons",1.747
"Milk And Milk Products","Fresh milk","2019",5,"Switzerland","euroValue",2557
"Milk And Milk Products","Fresh milk","2019",5,"Switzerland","tons",1.316
"Milk And Milk Products","Fresh milk","2019",6,"Switzerland","euroValue",10904
"Milk And Milk Products","Fresh milk","2019",6,"Switzerland","tons",7.615
"Milk And Milk Products","Fresh milk","2019",7,"Switzerland","euroValue",6463
"Milk And Milk Products","Fresh milk","2019",7,"Switzerland","tons",2.566
"Milk And Milk Products","Fresh milk","2019",8,"Switzerland","euroValue",3897
"Milk And Milk Products","Fresh milk","2019",8,"Switzerland","tons",1.636
"Milk And Milk Products","Fresh milk","2019",9,"Switzerland","euroValue",3483
"Milk And Milk Products","Fresh milk","2019",9,"Switzerland","tons",1.634
"Milk And Milk Products","Fresh milk","2019",10,"Switzerland","euroValue",13104
"Milk And Milk Products","Fresh milk","2019",10,"Switzerland","tons",7.778
"Milk And Milk Products","Fresh milk","2019",11,"Switzerland","euroValue",1830
"Milk And Milk Products","Fresh milk","2019",11,"Switzerland","tons",1.335
"Milk And Milk Products","Fresh milk","2019",12,"Switzerland","euroValue",9088
"Milk And Milk Products","Fresh milk","2019",12,"Switzerland","tons",2.716
"Milk And Milk Products","Fresh milk","2020",1,"Switzerland","euroValue",7096
"Milk And Milk Products","Fresh milk","2020",1,"Switzerland","tons",1.802
"Milk And Milk Products","Fresh milk","2020",2,"Switzerland","euroValue",4001
"Milk And Milk Products","Fresh milk","2020",2,"Switzerland","tons",0.351
"Milk And Milk Products","Fresh milk","2020",3,"Switzerland","euroValue",7758
"Milk And Milk Products","Fresh milk","2020",3,"Switzerland","tons",2.101
"Milk And Milk Products","Fresh milk","2020",4,"Switzerland","euroValue",4929
"Milk And Milk Products","Fresh milk","2020",4,"Switzerland","tons",2.241
"Milk And Milk Products","Fresh milk","2020",5,"Switzerland","euroValue",4668
"Milk And Milk Products","Fresh milk","2020",5,"Switzerland","tons",0.863
"Milk And Milk Products","Fresh milk","2020",6,"Switzerland","euroValue",9333
"Milk And Milk Products","Fresh milk","2020",6,"Switzerland","tons",3.447
"Milk And Milk Products","Fresh milk","2020",7,"Switzerland","euroValue",4593
"Milk And Milk Products","Fresh milk","2020",7,"Switzerland","tons",2.164
"Milk And Milk Products","Fresh milk","2020",8,"Switzerland","euroValue",4670
"Milk And Milk Products","Fresh milk","2020",8,"Switzerland","tons",0.942
"Milk And Milk Products","Fresh milk","2020",9,"Switzerland","euroValue",8169
"Milk And Milk Products","Fresh milk","2020",9,"Switzerland","tons",3.52
"Milk And Milk Products","Fresh milk","2020",10,"Switzerland","euroValue",4603
"Milk And Milk Products","Fresh milk","2020",10,"Switzerland","tons",2.35
"Milk And Milk Products","Fresh milk","2020",11,"Switzerland","euroValue",9129
"Milk And Milk Products","Fresh milk","2020",11,"Switzerland","tons",2.643
"Milk And Milk Products","Fresh milk","2020",12,"Switzerland","euroValue",6105
"Milk And Milk Products","Fresh milk","2020",12,"Switzerland","tons",1.758
"Milk And Milk Products","Fresh milk","2021",1,"Switzerland","euroValue",4879
"Milk And Milk Products","Fresh milk","2021",1,"Switzerland","tons",1.087
"Milk And Milk Products","Fresh milk","2021",2,"Switzerland","euroValue",3156
"Milk And Milk Products","Fresh milk","2021",2,"Switzerland","tons",1.44
"Milk And Milk Products","Fresh milk","2021",3,"Switzerland","euroValue",2930
"Milk And Milk Products","Fresh milk","2021",3,"Switzerland","tons",1.897
"Milk And Milk Products","Fresh milk","2021",4,"Switzerland","euroValue",3938
